listing_id,url,district,price_pen,price_usd,currency,area_m2,bedrooms,bathrooms,floor,antiquity_years,amenities_raw,days_listed,scraped_at
193763109,https://www.infocasas.com.pe/pl-tv-alquilo-acogedor-departamento-de-2-dormitorios-en-miraflores/193763109,miraflores,2600.0,769.0,PEN,70.0,2,1,3,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 0, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 0}",33,2026-06-21T02:29:27.939028+00:00
192939411,https://www.infocasas.com.pe/departamento-en-jose-galvez-cuadra-6/192939411,miraflores,3100.0,916.0,PEN,80.0,3,3,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 0, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 0}",261,2026-06-21T02:29:27.949809+00:00
193708085,https://www.infocasas.com.pe/tv-lindo-depa-de-2-dorm-y-balcon-con-vista-a-calle-cerca-al-ovalo-gutierrez/193708085,miraflores,2600.0,769.0,PEN,75.0,2,1,3,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",46,2026-06-21T02:29:27.959826+00:00
193390658,https://www.infocasas.com.pe/alquilo-departamento-amoblado-en-miraflores/193390658,miraflores,2700.0,798.0,PEN,65.0,0,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",127,2026-06-21T02:29:27.963498+00:00
193713307,https://www.infocasas.com.pe/exclusivo-departamento-en-miraflores-a-pasos-de-larcomar-–-3-dormitorios/193713307,miraflores,3200.0,946.0,PEN,92.0,3,2,6,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",45,2026-06-21T02:29:27.967212+00:00
193538115,https://www.infocasas.com.pe/se-alquila-departamento-en-miraflores/193538115,miraflores,3200.0,946.0,PEN,66.0,3,2,7,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 0, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",94,2026-06-21T02:29:27.977747+00:00
191150063,https://www.infocasas.com.pe/se-alquila-departamento-amoblado-en-miraflores/191150063,miraflores,3900.0,1153.0,PEN,81.0,2,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 0}",696,2026-06-21T02:30:08.075323+00:00
191150705,https://www.infocasas.com.pe/se-alquila-departamento-full-amoblado-con-habitaciones-mas-estacionamiento/191150705,miraflores,2420.0,715.0,PEN,85.0,2,2,1,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",695,2026-06-21T02:30:08.084970+00:00
191142189,https://www.infocasas.com.pe/alquiler-dpto-amoblado-av-reducto-miraflores/191142189,miraflores,2590.0,766.0,PEN,60.0,1,1,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",697,2026-06-21T02:30:08.088510+00:00
191145983,https://www.infocasas.com.pe/vendo-o-alquilo-triplex-en-condominio-la-aurora-miraflores-mts/191145983,miraflores,10612.0,3137.0,PEN,360.0,3,3,4,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",696,2026-06-21T02:30:08.093228+00:00
191528671,https://www.infocasas.com.pe/alquiler-departamento-miraflores/191528671,miraflores,2800.0,828.0,PEN,60.0,2,2,3,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",624,2026-06-21T02:30:08.097406+00:00
191200990,https://www.infocasas.com.pe/hermoso-duplex-de-dormitorio-a-pocas-cuadras-de-larcomar/191200990,miraflores,2990.0,884.0,PEN,69.0,1,1,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",683,2026-06-21T02:30:08.101156+00:00
191165227,https://www.infocasas.com.pe/alquiler-de-monoambiente-para-vivienda-u-oficina-m/191165227,miraflores,1320.0,390.0,PEN,28.0,1,1,5,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",694,2026-06-21T02:30:08.104694+00:00
191170933,https://www.infocasas.com.pe/departamento-amoblado-en-alquiler-miraflores/191170933,miraflores,3200.0,946.0,PEN,75.0,2,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 0, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 0}",693,2026-06-21T02:30:08.107981+00:00
191156728,https://www.infocasas.com.pe/alquilo-departamento-en-miraflores/191156728,miraflores,3330.0,984.0,PEN,92.0,3,2,,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",695,2026-06-21T02:30:08.111288+00:00
191145602,https://www.infocasas.com.pe/san-isidro-mts-dormitorios-cocheras-amoblado/191145602,san-isidro,3650.0,1079.0,PEN,90.0,2,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",696,2026-06-21T02:29:29.201902+00:00
191717189,https://www.infocasas.com.pe/alquiler-departamento-san-isidro/191717189,san-isidro,3900.0,1153.0,PEN,300.0,3,3,0,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",574,2026-06-21T02:29:29.211367+00:00
191136437,https://www.infocasas.com.pe/alquilo-o-vendo-lindo-dplex-en-san-isidro/191136437,san-isidro,5215.0,1541.0,PEN,219.0,2,3,15,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",697,2026-06-21T02:29:29.215253+00:00
191143381,https://www.infocasas.com.pe/lindo-departamento-con-terraza-en-el-golf-de-san-isidro/191143381,san-isidro,5920.0,1750.0,PEN,104.0,2,2,11,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",697,2026-06-21T02:29:29.219401+00:00
191176988,https://www.infocasas.com.pe/espectacular-departamento-en-edificio-de-lujo-de-acm-en-san-isidro/191176988,san-isidro,20900.0,6178.0,PEN,409.0,3,3,1,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",691,2026-06-21T02:29:29.222966+00:00
191154144,https://www.infocasas.com.pe/alquilo-departamento-de-m-a-cerca-al-valo-gutierrez-san-isidro/191154144,san-isidro,9044.0,2673.0,PEN,255.0,3,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",695,2026-06-21T02:29:29.226882+00:00
191135725,https://www.infocasas.com.pe/departamento-amoblado-con-vista-a-jardn-en-san-isidro/191135725,san-isidro,1875.0,554.0,PEN,35.0,1,1,2,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 0, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",697,2026-06-21T02:29:29.231618+00:00
191136097,https://www.infocasas.com.pe/alquiler-departamento-en-san-isidro/191136097,san-isidro,3100.0,916.0,PEN,60.0,2,2,,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",697,2026-06-21T02:29:29.235020+00:00
191153085,https://www.infocasas.com.pe/se-alquila-exclusivo-departamento-en-san-isidro/191153085,san-isidro,2667.0,788.0,PEN,45.0,1,1,5,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",695,2026-06-21T02:29:29.238251+00:00
191160969,https://www.infocasas.com.pe/san-isidro-dormitorios-alquilo-o-vendo/191160969,san-isidro,26000.0,7685.0,PEN,899.0,5,3,14,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",694,2026-06-21T02:29:29.241545+00:00
191206355,https://www.infocasas.com.pe/lindo-y-acogedor-departamento-en-alquiler-en-san-isidro/191206355,san-isidro,3145.0,930.0,PEN,70.0,1,3,,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",682,2026-06-21T02:30:31.436519+00:00
